name	x	y	z	type	material
C3	-0.06714873038365092	0.023358234962598565	0.10451068106025274	wet	Ag/AgCl
Cz	-0.0013741408533525957	0.027617093717945417	0.1401994941744	wet	Ag/AgCl
TP7	-0.08675728536194152	-0.014950971454822267	0.03515865615910235	wet	Ag/AgCl
CP5	-0.0815135185591705	-0.013345688457798027	0.07313262712367748	wet	Ag/AgCl
CP3	-0.06547224097149225	-0.011896599111525148	0.10777792004227077	wet	Ag/AgCl
CP1	-0.03742513286802655	-0.010824235244308918	0.13344371157184573	wet	Ag/AgCl
CPz	-0.0015249123600369623	-0.010518376261361682	0.1415491439763013	wet	Ag/AgCl
P9	-0.07504186115216518	-0.044614328642365725	0.002842148832066481	wet	Ag/AgCl
P7	-0.07445797197401204	-0.0421231600703902	0.041273631387385656	wet	Ag/AgCl
P5	-0.06929984778304407	-0.043226969304827736	0.07225380245654861	wet	Ag/AgCl
P3	-0.05503823925315043	-0.04421030104524479	0.09990897692201317	wet	Ag/AgCl
P1	-0.030653624162682504	-0.04492738508964679	0.11947204537971742	wet	Ag/AgCl
Pz	-0.0017094524972804195	-0.04521299319629392	0.12667292418210063	wet	Ag/AgCl
PO7	-0.056948628595126505	-0.06592324268349231	0.04790743802199564	wet	Ag/AgCl
PO3	-0.038624608976388995	-0.06736158053162712	0.08241555265208678	wet	Ag/AgCl
POz	-0.0018998318804281135	-0.06805409903094144	0.0959099993612478	wet	Ag/AgCl
O1	-0.0315735653251896	-0.08056835005318111	0.054789645624052044	wet	Ag/AgCl
Oz	-0.002060253553524364	-0.08278299035919615	0.06073663060774018	wet	Ag/AgCl
O2	0.027683093109090593	-0.08048884161275736	0.05473408147779854	wet	Ag/AgCl
PO8	0.05355731544232249	-0.0664169403782647	0.04785097585047131	wet	Ag/AgCl
PO4	0.03466778587174901	-0.06766213823777688	0.08164652939132971	wet	Ag/AgCl
P10	0.07185894733971461	-0.045773124106266744	0.002655786411093812	wet	Ag/AgCl
P8	0.07103246343848865	-0.04225998064272267	0.04119886278195534	wet	Ag/AgCl
P6	0.06586061191164945	-0.0433385196931155	0.07194130862688547	wet	Ag/AgCl
P4	0.053636008012841616	-0.044334525348021875	0.10051602773215543	wet	Ag/AgCl
P2	0.029886386222411618	-0.04503254404940618	0.12074781507025559	wet	Ag/AgCl
TP8	0.08362231532894225	-0.01508567532515739	0.03505769683479039	wet	Ag/AgCl
CP6	0.08140110027360135	-0.01346204793715924	0.07336367003861735	wet	Ag/AgCl
CP4	0.0646962476012671	-0.011991179362648905	0.10771287092399104	wet	Ag/AgCl
CP2	0.0364719521247076	-0.010903793865136614	0.13281227263122153	wet	Ag/AgCl
C4	0.06532887326785189	0.02357310071942504	0.10369243420048097	wet	Ag/AgCl
